lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,2022-12-18 09:44:46.780281,,,,,,,,,,,,,,
,2022-12-18 09:44:47.639852,0.05500073730945587,0.00020019072690047324,0.05500073730945587,49.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:45:30.873975,,,,,,,,,,,,,,
,2022-12-18 09:45:31.735579,0.24116075038909912,0.0009340803371742368,0.24116075038909912,99.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:46:14.981794,,,,,,,,,,,,,,
,2022-12-18 09:46:15.852742,0.06046699732542038,0.00020684584160335362,0.06046699732542038,149.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:46:59.295366,,,,,,,,,,,,,,
,2022-12-18 09:47:00.169345,0.28168103098869324,0.0012042198795825243,0.28168103098869324,199.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:47:43.520444,,,,,,,,,,,,,,
,2022-12-18 09:47:44.385900,0.15646906197071075,0.0005156857660040259,0.15646906197071075,249.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:48:27.798156,,,,,,,,,,,,,,
,2022-12-18 09:48:28.662606,0.5810973048210144,0.010330433957278728,0.5810973048210144,299.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:49:12.159366,,,,,,,,,,,,,,
,2022-12-18 09:49:13.030370,0.07767322659492493,0.0002610368828754872,0.07767322659492493,349.0,0.0,,,,,,,,,
1e-06,2022-12-18 09:49:56.487322,,,,,,,,,,,,,,
,2022-12-18 09:49:57.351125,0.23526617884635925,0.0008616772829554975,0.23526617884635925,399.0,0.0,,,,,,,,,
,2022-12-18 09:50:01.241976,,,,,0.0,0.2085718810558319,0.0009194420999847353,0.2085718810558319,0.21643665432929993,0.0041521452367305756,0.21643665432929993,,,
,2022-12-18 09:50:01.272226,,,,,0.0,,,,,,,0.16454410552978516,0.001739052589982748,0.16454410552978516
1e-06,2022-12-18 09:50:46.983023,,,,,,,,,,,,,,
,2022-12-18 09:50:47.848008,0.024224918335676193,0.00010153368202736601,0.024224918335676193,449.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:51:31.335368,,,,,,,,,,,,,,
,2022-12-18 09:52:44.928668,0.07955959439277649,0.00026430588332004845,0.07955959439277649,499.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:54:12.549673,,,,,,,,,,,,,,
,2022-12-18 09:54:13.421427,0.05285589396953583,0.00019295078527648002,0.05285589396953583,549.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:54:57.136581,,,,,,,,,,,,,,
,2022-12-18 09:54:58.005714,0.1041661724448204,0.0003421930887270719,0.1041661724448204,599.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:55:41.683363,,,,,,,,,,,,,,
,2022-12-18 09:55:42.561720,0.019687358289957047,8.251544932136312e-05,0.019687358289957047,649.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:56:26.422670,,,,,,,,,,,,,,
,2022-12-18 09:56:27.294983,0.11688387393951416,0.00038402643986046314,0.11688387393951416,699.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:57:10.973620,,,,,,,,,,,,,,
,2022-12-18 09:57:11.848378,0.0035958155058324337,2.0654339095926844e-05,0.0035958155058324337,749.0,1.0,,,,,,,,,
1e-06,2022-12-18 09:57:55.546087,,,,,,,,,,,,,,
,2022-12-18 09:57:56.415171,0.17914217710494995,0.0006236191256903112,0.17914217710494995,799.0,1.0,,,,,,,,,
,2022-12-18 09:57:59.657571,,,,,1.0,0.25358861684799194,0.0017716963775455952,0.25358861684799194,0.258036345243454,0.003486422123387456,0.258036345243454,,,
,2022-12-18 09:57:59.688689,,,,,1.0,,,,,,,0.16653281450271606,0.004269425757229328,0.16653281450271606
